Product Name,Store,Min Price,Weight_g,Price per Gram,Category,usda_match,match_confidence,Energy (kcal),Protein (g),Healthy Fats (g),Unhealthy Fats (g),"Carbohydrate, by difference (g)","Fiber, total dietary (g)","Calcium, Ca (mg)","Iron, Fe (mg)","Potassium, K (mg)","Sodium, Na (mg)",Vitamin C (mg),"Vitamin A, RAE (µg)",Vitamin D (D2 + D3) (µg),"Sugars, Total (g)",Cholesterol (mg)
Hero Classic White Bread - 15.9 Oz,Safeway,9.99,450.76,0.02216271,bread-bakery,"Bread, white",100.0,267.0,9.43,2.587,0.821,49.2,2.3,211.0,3.36,117.0,450.0,0.0,0.0,0.0,5.34,0.0
Hero Classic Hot Dog Buns - 17.5 Oz,Safeway,9.99,496.12,0.02013641,bread-bakery,"Hot dog, reduced fat",100.0,216.0,13.8,8.269,6.5,5.1,0.0,16.0,1.17,203.0,615.0,0.2,0.0,0.5,0.0,52.0
Hero Classic Hamburger Buns - 17.5 Oz,Safeway,9.99,496.12,0.02013641,bread-bakery,"Hamburger, NFS",84.6,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
Signature SELECT Parisian Style French Hoagie Rolls - 16.5 Oz,Safeway,7.99,467.77,0.01708116,bread-bakery,"Rolls, french",100.0,277.0,8.6,2.794,0.962,50.2,3.2,91.0,2.71,114.0,574.0,0.0,0.0,0.0,0.31,0.0
La Tour Bakehouse Japanese Style White Bread - 21 OZ,Safeway,6.99,595.34,0.0117412,bread-bakery,"Bread, white wheat",78.6,238.0,10.7,1.366,0.661,43.9,9.2,684.0,4.89,127.0,478.0,0.0,0.0,0.0,5.0,0.0
Signature SELECT Bread Round Sliced Sourdough - 24 Oz,Safeway,9.99,680.39,0.0146828,bread-bakery,"Bread, sour dough",85.7,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Signature SELECT Buns Hamburger - 14 Oz,Safeway,6.49,396.89,0.01635201,bread-bakery,"Hamburger, NFS",81.8,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
Oroweat Country Style Buttermilk Bread - 24 Oz,Safeway,9.49,680.39,0.01394792,bread-bakery,"Buttermilk, low fat",100.0,,3.46,0.199,0.552,4.81,,120.0,0.0132,158.0,92.5,,,0.543,,4.79
King's Hawaiian Original Sweet Rolls - 12 Oz,Safeway,6.99,340.19,0.0205471,bread-bakery,"Rolls, dinner, sweet",75.9,321.0,10.0,2.705,3.688,53.6,3.1,62.0,2.74,149.0,253.0,0.2,40.0,0.0,15.4,55.0
Atoria's Naan Garlic - 11 Oz,Safeway,4.49,311.84,0.0143982,bread-bakery,"Garlic, raw",100.0,143.0,6.62,0.0,0.0,28.2,2.7,,,,,10.0,,,,
Francisco International French Sandwich Rolls - 18.5 Oz,Safeway,9.99,524.47,0.01904795,bread-bakery,"Rolls, french",100.0,277.0,8.6,2.794,0.962,50.2,3.2,91.0,2.71,114.0,574.0,0.0,0.0,0.0,0.31,0.0
Daves Killer Bread 21 Whole Grains & Seeds Thin-Sliced Whole Grain Organic Bread - 20.5 Oz,Safeway,10.49,581.16,0.01804996,bread-bakery,"Bread, whole grain white",78.6,238.0,10.7,1.366,0.63,43.9,9.2,684.0,4.89,127.0,450.0,0.0,0.0,0.0,5.0,0.0
Oven Joy Bread Enriched White - 22 Oz,Safeway,4.99,623.69,0.00800078,bread-bakery,"Bread, white",100.0,267.0,9.43,2.587,0.821,49.2,2.3,211.0,3.36,117.0,450.0,0.0,0.0,0.0,5.34,0.0
Panera Demi Baguette 2 Pack - 14 OZ,Safeway,5.99,396.89,0.01509223,bread-bakery,Bagel,80.0,264.0,10.6,0.916,0.36,52.4,1.6,70.0,3.57,107.0,422.0,0.0,0.0,0.0,8.43,0.0
King's Hawaiian Original Sweet Pretzel Hamburger Buns - 10.5 Oz,Safeway,6.99,297.67,0.0234824,bread-bakery,"Hamburger, NFS",84.6,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
Daves Killer Bread 21 Whole Grains and Seeds Whole Grain Organic Bread - 27 Oz,Safeway,11.99,765.44,0.01566426,bread-bakery,"Bread, whole grain white",78.6,238.0,10.7,1.366,0.63,43.9,9.2,684.0,4.89,127.0,450.0,0.0,0.0,0.0,5.0,0.0
King's Hawaiian Original Sweet Rolls - 24 Oz,Safeway,11.49,680.39,0.01688742,bread-bakery,"Rolls, dinner, sweet",75.9,321.0,10.0,2.705,3.688,53.6,3.1,62.0,2.74,149.0,253.0,0.2,40.0,0.0,15.4,55.0
Seattle International Baking Company Hoagie Rolls Sourdough 6 Count - 19 Oz,Safeway,9.49,538.64,0.01761843,bread-bakery,"Roll, sour dough",93.3,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Signature SELECT Bread Sourdough - 24 Oz,Safeway,8.99,680.39,0.01321305,bread-bakery,"Bread, sour dough",96.8,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Bimbo Soft White Bread - 20 Oz,Safeway,6.99,566.99,0.01232826,bread-bakery,"Bread, white",100.0,267.0,9.43,2.587,0.821,49.2,2.3,211.0,3.36,117.0,450.0,0.0,0.0,0.0,5.34,0.0
Signature SELECT Buns Hamburger Sesame - 14 Oz,Safeway,6.49,396.89,0.01635201,bread-bakery,Hamburger slider,75.0,288.0,17.8,7.050000000000001,5.65,19.7,0.7,63.0,2.81,232.0,349.0,0.5,0.0,0.1,2.86,51.0
Love's Royal Hearth Honey Oat Bran - 24 OZ,Safeway,8.99,680.39,0.01321305,bread-bakery,"Oat bran, cooked",100.0,40.0,3.21,0.63,0.163,11.4,2.6,10.0,0.88,92.0,1.0,0.0,0.0,0.0,,0.0
Love's King White Roundtop - 22.5 OZ,Safeway,7.49,637.86,0.01174232,bread-bakery,"Icing, white",81.8,418.0,0.0,12.81,2.97,67.9,0.0,3.0,0.16,34.0,184.0,0.0,0.0,0.0,63.1,0.0
Signature SELECT Buns Hot Dog Potato 8 Count - 15 Oz,Safeway,7.49,425.24,0.01761348,bread-bakery,"Hot dog, reduced fat",100.0,216.0,13.8,8.269,6.5,5.1,0.0,16.0,1.17,203.0,615.0,0.2,0.0,0.5,0.0,52.0
Oroweat Hawaiian Sweet Bread - 24 Oz,Safeway,10.99,680.39,0.01615255,bread-bakery,"Bread, sweet potato",75.9,241.0,8.64,1.332,0.96,45.4,1.7,36.0,3.14,157.0,474.0,4.1,86.0,0.2,3.53,4.0
Signature SELECT Bread Long Sliced Loaf San Francisco Style Sourdough - 24 Oz,Safeway,10.99,680.39,0.01615255,bread-bakery,"Bread, sour dough",81.5,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Franz 12 Grain Half Bread Loaf - 12 OZ,Safeway,6.49,340.19,0.01907735,bread-bakery,"Bread, whole grain white",78.6,238.0,10.7,1.366,0.63,43.9,9.2,684.0,4.89,127.0,450.0,0.0,0.0,0.0,5.0,0.0
Oroweat Keto Hamburger Buns - 12 Oz,Safeway,11.49,340.19,0.03377485,bread-bakery,"Hamburger, NFS",84.6,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
The Rustik Oven Sourdough Bread - 16 Oz,Safeway,8.99,453.59,0.01981957,bread-bakery,"Roll, sour dough",73.3,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Seattle Sourdough Baking Co Bread Garlic Round - 24 Oz,Safeway,10.49,680.39,0.01541767,bread-bakery,"Garlic bread, frozen",100.0,350.0,8.36,10.11,5.5200000000000005,41.7,2.5,27.0,3.05,103.0,544.0,0.2,13.0,0.2,3.69,0.0
Punaluu Sweetbread Taro Dinner Rolls - 16 Oz,Safeway,9.49,453.59,0.02092189,bread-bakery,Sweetbreads,90.9,124.0,22.5,1.208,0.935,0.0,0.0,4.0,1.23,432.0,366.0,39.1,0.0,0.0,0.0,347.0
Signature SELECT Bread Artisan Style - 20 Oz,Safeway,7.49,566.99,0.01321011,bread-bakery,"Bread, Italian",76.9,259.0,9.49,1.803,0.561,48.1,2.1,105.0,3.45,124.0,618.0,0.0,0.0,0.0,4.69,0.0
Signature SELECT Garlic Flat Bread Naan - 17.6 Oz,Safeway,8.59,498.95,0.01721611,bread-bakery,"Garlic bread, frozen",100.0,350.0,8.36,10.11,5.5200000000000005,41.7,2.5,27.0,3.05,103.0,544.0,0.2,13.0,0.2,3.69,0.0
Signature SELECT Bread 100% Whole Wheat - 24 Oz,Safeway,8.99,680.39,0.01321305,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Signature SELECT Artisan San Francisco Style Sourdough Baguette - 8 Oz,Safeway,3.99,226.8,0.0175929,bread-bakery,"Roll, sour dough",73.3,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Anis Bake Shop Home Made Style Sweet Bread - 16 Oz,Safeway,9.99,453.59,0.0220242,bread-bakery,"Bread, sweet potato",75.9,241.0,8.64,1.332,0.96,45.4,1.7,36.0,3.14,157.0,474.0,4.1,86.0,0.2,3.53,4.0
Oroweat Whole Grains 100% Whole Wheat Bread - 24 Oz,Safeway,10.99,680.39,0.01615255,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Signature SELECT Breadsticks 4 Cheese & Garlic - 12 OZ,Safeway,4.99,340.19,0.0146681,bread-bakery,"Breadsticks, NFS",84.6,342.0,12.2,8.92,2.96,44.4,2.4,87.0,4.64,132.0,615.0,0.0,24.0,0.0,1.11,7.0
Oroweat Whole Grains 12 Grain Bread - 24 Oz,Safeway,9.49,680.39,0.01394792,bread-bakery,"Bread, whole grain white",78.6,238.0,10.7,1.366,0.63,43.9,9.2,684.0,4.89,127.0,450.0,0.0,0.0,0.0,5.0,0.0
Punaluu Rolls Dinner - 16 Oz,Safeway,9.49,453.59,0.02092189,bread-bakery,"Roll, gluten free",100.0,239.0,3.34,1.987,0.215,50.5,5.1,180.0,3.57,76.0,593.0,0.0,0.0,0.0,6.87,0.0
Oroweat 100% Whole Wheat Sandwich Thins - 12 Oz,Safeway,9.99,340.19,0.0293656,bread-bakery,Ham sandwich on wheat,80.0,185.0,14.0,2.12,0.913,23.6,2.8,86.0,1.91,303.0,657.0,0.1,0.0,0.3,2.69,20.0
Oroweat Schwarzwalder Dark Rye Bread - 16 Oz,Safeway,10.99,453.59,0.02422882,bread-bakery,"Bread, rye",100.0,259.0,8.5,2.109,0.626,48.3,5.8,73.0,2.83,166.0,603.0,0.4,0.0,0.0,3.85,0.0
Sara Lee Artesano Golden Wheat Bread - 20 Oz,Safeway,6.99,566.99,0.01232826,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Stonefire Mini Authentic Naan Bread - 7.05 Oz,Safeway,4.99,199.86,0.02496698,bread-bakery,"Bread, naan",100.0,311.0,11.1,3.49,3.16,50.2,5.2,64.0,1.88,201.0,508.0,0.0,2.0,0.0,3.7,1.0
King's Hawaiian Original Sweet Mini Sub Rolls - 12 Oz,Safeway,6.99,340.19,0.0205471,bread-bakery,"Rolls, dinner, sweet",75.9,321.0,10.0,2.705,3.688,53.6,3.1,62.0,2.74,149.0,253.0,0.2,40.0,0.0,15.4,55.0
Atorias Pita Bread Traditional - 12 Oz,Safeway,4.49,340.19,0.01319835,bread-bakery,"Bread, pita",100.0,275.0,9.1,0.64,0.166,55.7,2.2,86.0,2.62,120.0,536.0,0.0,0.0,0.0,1.3,0.0
Panera Sourdough Bread Bowl Pack 2 Count - 14 Oz,Safeway,6.99,396.89,0.0176118,bread-bakery,"Bread, sour dough",75.0,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Franz Honey Wheat Half Bread Loaf - 12 OZ,Safeway,6.49,340.19,0.01907735,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Boudin San Fran Sour Dough Square - 24 Oz,Safeway,6.49,680.39,0.00953867,bread-bakery,"Bread, sour dough",81.2,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Keto Culture Bread - 18 Oz,Safeway,7.99,510.29,0.01565773,bread-bakery,"Pickles, cucumber, sweet (includes bread and butter pickles)",72.2,91.0,0.58,0.11,0.067,21.2,1.0,61.0,0.25,100.0,457.0,0.7,38.0,0.0,18.3,0.0
St Pierre Brioche Loaf - 17.6 Oz,Safeway,11.49,498.95,0.0230283,bread-bakery,Brioche,100.0,427.0,8.96,7.37,14.3,36.3,1.5,44.0,2.86,130.0,437.0,0.0,269.0,0.9,3.12,174.0
Laromme Egg Challah Premium - 15 Oz,Safeway,8.49,425.24,0.01996508,bread-bakery,"Bread, egg, Challah",82.4,287.0,9.5,3.41,1.59,47.8,2.3,93.0,3.04,115.0,380.0,0.0,63.0,0.4,1.78,51.0
Oroweat Country Potato Bread - 24 Oz,Safeway,10.99,680.39,0.01615255,bread-bakery,"Bread, potato",100.0,266.0,12.5,0.0,0.0,47.1,6.3,188.0,2.25,718.0,375.0,0.0,24.0,0.1,9.38,0.0
Signature SELECT Bread White Buttermilk - 24 Oz,Safeway,8.99,680.39,0.01321305,bread-bakery,"Buttermilk, low fat",100.0,,3.46,0.199,0.552,4.81,,120.0,0.0132,158.0,92.5,,,0.543,,4.79
Stonefire Naan Tandoor Baked Garlic - 8.8 Oz,Safeway,4.99,249.48,0.02000196,bread-bakery,"Garlic, raw",100.0,143.0,6.62,0.0,0.0,28.2,2.7,,,,,10.0,,,,
Loves Sweet Rolls 12pk - 16 OZ,Safeway,1.5,453.59,0.00330694,bread-bakery,"Sweet rolls, cheese",80.0,360.0,7.1,11.09,6.06,43.7,1.2,118.0,0.76,137.0,357.0,0.2,,,,76.0
Oroweat Keto Bread - 20 Oz,Safeway,11.99,566.99,0.02114676,bread-bakery,"Bread, wheat or cracked wheat",75.0,274.0,10.7,2.232,0.697,47.5,4.0,125.0,3.6,141.0,450.0,0.2,0.0,0.0,5.73,0.0
Sara Lee Artesano Smooth Multigrain Bakery Bread - 20 OZ,Safeway,6.99,566.99,0.01232826,bread-bakery,"Bread, multigrain",100.0,265.0,13.4,2.63,0.872,43.3,7.4,103.0,2.5,230.0,360.0,0.1,0.0,0.0,6.39,0.0
Signature SELECT Bread Nut & Grain - 24 Oz,Safeway,7.99,680.39,0.0117433,bread-bakery,"Bread, nut",100.0,403.0,6.59,15.55,2.93,49.7,1.2,161.0,2.31,152.0,336.0,0.1,37.0,0.6,26.0,50.0
Stonefire Garlic Mini Naan 4 Count - 7.05 OZ,Safeway,4.99,199.86,0.02496698,bread-bakery,"Garlic, raw",100.0,143.0,6.62,0.0,0.0,28.2,2.7,,,,,10.0,,,,
Sara Lee Butter Bread - 20 Oz,Safeway,8.49,566.99,0.01497381,bread-bakery,"Sesame butter, creamy",74.3,,19.7,49.0,8.97,14.2,8.37,116.0,7.0,408.0,63.6,,,,,
Ball Park White Hamburger Buns 8 Count - 15 Oz,Safeway,5.49,425.24,0.01291028,bread-bakery,"Roll, white, hamburger bun",89.4,267.0,9.43,2.587,0.821,49.2,2.3,211.0,3.36,117.0,450.0,0.0,0.0,0.0,5.34,0.0
Love's Hot Dog Buns 8 Pk Cluster - 14 OZ,Safeway,6.49,396.89,0.01635201,bread-bakery,"Hot dog, reduced fat",100.0,216.0,13.8,8.269,6.5,5.1,0.0,16.0,1.17,203.0,615.0,0.2,0.0,0.5,0.0,52.0
Ball Park White Hot Dog Buns 8 Count - 14 Oz,Safeway,5.49,396.89,0.01383244,bread-bakery,"Hot dog, reduced fat",100.0,216.0,13.8,8.269,6.5,5.1,0.0,16.0,1.17,203.0,615.0,0.2,0.0,0.5,0.0,52.0
Joseph's Flax Oat Bran & Whole Wheat Pita Bread 6Count - 8 Oz,Safeway,3.89,226.8,0.01715198,bread-bakery,"Bread, pita, whole-wheat",100.0,262.0,9.8,1.409,0.208,55.9,6.1,15.0,3.06,170.0,421.0,0.0,0.0,0.0,2.87,0.0
Signature SELECT Artisan Hamburger Buns White - 21 Oz,Safeway,7.49,595.34,0.01258106,bread-bakery,"Roll, white, hamburger bun",76.9,267.0,9.43,2.587,0.821,49.2,2.3,211.0,3.36,117.0,450.0,0.0,0.0,0.0,5.34,0.0
Signature SELECT Bread 100% Whole Wheat - 16 Oz,Safeway,5.49,453.59,0.01210339,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Signature SELECT Grissini Toasted Breadsticks - 8 Oz,Safeway,6.49,226.8,0.02861602,bread-bakery,"Bread, raisin, toasted",75.0,297.0,9.69,2.572,0.822,57.4,2.8,215.0,3.52,197.0,448.0,0.3,0.0,0.0,12.4,0.0
Oroweat Golden Seeded Hamburger Rolls - 21 Oz,Safeway,7.49,595.34,0.01258106,bread-bakery,"Hamburger, NFS",81.8,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
Punaluu Sweetbread 12 Guava Dinner Rolls - 16 Oz,Safeway,9.49,453.59,0.02092189,bread-bakery,Sweetbreads,90.9,124.0,22.5,1.208,0.935,0.0,0.0,4.0,1.23,432.0,366.0,39.1,0.0,0.0,0.0,347.0
Oroweat Whole Grains Healthy Multi Grain Bread - 24 Oz,Safeway,10.99,680.39,0.01615255,bread-bakery,"Bread, whole grain white",78.6,238.0,10.7,1.366,0.63,43.9,9.2,684.0,4.89,127.0,450.0,0.0,0.0,0.0,5.0,0.0
Signature SELECT Artisan Bread Honey Wheat - 20 Oz,Safeway,7.49,566.99,0.01321011,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Upper Crust Baked Sourdough Baguette - 8.3 OZ,Safeway,2.99,235.3,0.01270714,bread-bakery,"Bread, sour dough",81.2,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Schar Bread Artisan Baker Gluten Free White - 14.1 Oz,Safeway,7.99,399.73,0.01998859,bread-bakery,"Bread, white",100.0,267.0,9.43,2.587,0.821,49.2,2.3,211.0,3.36,117.0,450.0,0.0,0.0,0.0,5.34,0.0
La Brea Bakery Bread Loaf French - 16 Oz,Safeway,8.99,453.59,0.01981957,bread-bakery,"Rolls, french",73.7,277.0,8.6,2.794,0.962,50.2,3.2,91.0,2.71,114.0,574.0,0.0,0.0,0.0,0.31,0.0
Loves Hamburger Buns 8 Pk Cluster - 15 OZ,Safeway,6.49,425.24,0.01526188,bread-bakery,"Hamburger, NFS",84.6,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
Panera Asiago Cheese Bread - 16 Oz,Safeway,9.99,453.59,0.0220242,bread-bakery,"Bread, cheese",100.0,408.0,10.4,13.54,6.25,44.8,2.1,90.0,2.49,84.0,750.0,0.0,24.0,0.1,2.08,10.0
Loves Hamburger Buns Cluster 8pk - 15 OZ,Safeway,7.49,425.24,0.01761348,bread-bakery,"Hamburger, NFS",84.6,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
SSBC Round Sourdough Jalapeno Bread - 24 Oz,Safeway,10.99,680.39,0.01615255,bread-bakery,"Roll, sour dough",80.0,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Sara Lee Honey Wheat Bread - 20 Oz,Safeway,8.49,566.99,0.01497381,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Signature SELECT Grissini Sea Salt Breadsticks - 8 Oz,Safeway,6.49,226.8,0.02861602,bread-bakery,"Breadsticks, NFS",84.6,342.0,12.2,8.92,2.96,44.4,2.4,87.0,4.64,132.0,615.0,0.0,24.0,0.0,1.11,7.0
Franz Brioche Bread - 26 Oz,Safeway,8.99,737.09,0.01219666,bread-bakery,Brioche,100.0,427.0,8.96,7.37,14.3,36.3,1.5,44.0,2.86,130.0,437.0,0.0,269.0,0.9,3.12,174.0
La Brea Bread Loaf Rustic 8 Grain - 18 Oz,Safeway,8.99,510.29,0.0176174,bread-bakery,"Bread, whole grain white",78.6,238.0,10.7,1.366,0.63,43.9,9.2,684.0,4.89,127.0,450.0,0.0,0.0,0.0,5.0,0.0
Love's Jumbo Wheat - 31 OZ,Safeway,6.49,878.83,0.00738478,bread-bakery,"Bread, wheat",73.7,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Sara Lee 100% Whole Wheat Bread - 16 Oz,Safeway,7.29,453.59,0.01607171,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Oroweat Keto Hotdog Buns - 12 Oz,Safeway,11.49,340.19,0.03377485,bread-bakery,"Roll, whole wheat, hot dog bun",77.3,269.0,12.4,2.497,0.921,44.9,6.1,198.0,2.42,242.0,477.0,1.3,33.0,0.0,5.92,0.0
Signature Select Butter Wheat Bread - 22 Oz,Safeway,8.49,623.69,0.01361255,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Antonina's Gluten Free Chocolate Cake with Buttercream Frosting - 22 Oz,Safeway,20.99,623.69,0.03365459,bread-bakery,"Cake, cherry fudge with chocolate frosting",81.2,264.0,2.4,6.74,5.07,38.0,0.5,48.0,1.1,166.0,164.0,13.6,80.0,0.3,32.9,42.0
Oroweat Onion Rolls - 21 Oz,Safeway,7.49,595.34,0.01258106,bread-bakery,"Bread, onion",72.7,238.0,8.81,1.368,0.994,44.3,1.7,36.0,3.11,124.0,482.0,0.9,17.0,0.2,3.33,4.0
Seattle Sourdough Baking Company Bread Sliced Round Cracked Wheat Sourdough - 24 Oz,Safeway,11.49,680.39,0.01688742,bread-bakery,"Bread, cracked-wheat",100.0,260.0,8.7,2.582,0.916,49.5,5.5,43.0,2.81,177.0,538.0,0.0,0.0,,,0.0
King's Hawaiian Original Sweet Rolls - 4 Oz,Safeway,3.49,113.4,0.03077656,bread-bakery,"Rolls, dinner, sweet",75.9,321.0,10.0,2.705,3.688,53.6,3.1,62.0,2.74,149.0,253.0,0.2,40.0,0.0,15.4,55.0
Schar Bread 10 Grain Artisan - 14.1 Oz,Safeway,7.99,399.73,0.01998859,bread-bakery,"Bread, whole grain white",78.6,238.0,10.7,1.366,0.63,43.9,9.2,684.0,4.89,127.0,450.0,0.0,0.0,0.0,5.0,0.0
King's Hawaiian Original Sweet Rolls 24 Count - 24 Oz,Safeway,11.49,680.39,0.01688742,bread-bakery,"Rolls, dinner, sweet",75.9,321.0,10.0,2.705,3.688,53.6,3.1,62.0,2.74,149.0,253.0,0.2,40.0,0.0,15.4,55.0
Oroweat Whole Grains 100% Whole Wheat Bread - 18 Oz,Safeway,7.99,510.29,0.01565773,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Signature SELECT Bread Enriched Oat & Nuts - 24 Oz,Safeway,8.99,680.39,0.01321305,bread-bakery,"Bread, raisin, enriched",80.0,274.0,7.9,2.9690000000000003,1.08,52.3,4.3,66.0,2.9,227.0,347.0,0.1,0.0,0.0,5.68,0.0
La Tour Japanese Style Wheat Bread - 21 OZ,Safeway,6.99,595.34,0.0117412,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Bimbo Wheat Bread - 20 Oz,Safeway,5.99,566.99,0.01056456,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
Signature Select Butter White Bread - 22 Oz,Safeway,8.49,623.69,0.01361255,bread-bakery,"Bread, white",100.0,267.0,9.43,2.587,0.821,49.2,2.3,211.0,3.36,117.0,450.0,0.0,0.0,0.0,5.34,0.0
Franz Bread Big Horn 100% Wheat Thin Slice - 18 Oz,Safeway,9.99,510.29,0.01957706,bread-bakery,"Bread, wheat",100.0,274.0,10.7,2.232,0.73,47.5,4.0,125.0,3.6,141.0,473.0,0.2,0.0,0.0,5.73,0.0
La Tour Org Sourdough - 24 OZ,Safeway,9.29,680.39,0.01365397,bread-bakery,"Roll, sour dough",81.5,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
The Cheesecake Factory Wheat Twin Baguette - 10 Oz,Safeway,5.99,283.5,0.02112912,bread-bakery,"Cheesecake, fruit",81.2,387.0,4.8,6.86,12.9,38.2,0.6,63.0,0.72,102.0,252.0,0.9,199.0,0.3,28.8,103.0
Bun Sausage Pretzel 4ct - 10.4 Oz,Safeway,6.99,294.83,0.02370819,bread-bakery,Blood sausage,75.0,379.0,14.6,19.36,13.4,1.29,0.0,6.0,6.4,38.0,680.0,0.0,0.0,1.3,1.29,120.0
Schar Buns Hamburger Gluten Free 4 Count - 10.6 Oz,Safeway,6.79,300.5,0.02259532,bread-bakery,"Hamburger, NFS",81.8,288.0,17.5,6.9,5.5,20.7,0.7,66.0,2.83,229.0,355.0,0.5,0.0,0.1,3.0,49.0
Inked Organic Sourdough Bread - 22.5 Oz,Safeway,10.99,637.86,0.01722938,bread-bakery,"Bread, sour dough",77.4,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Laromme Rolls Egg Challah Premium - 13 Oz,Safeway,8.49,368.54,0.02303663,bread-bakery,"Bread, egg, Challah",78.6,287.0,9.5,3.41,1.59,47.8,2.3,93.0,3.04,115.0,380.0,0.0,63.0,0.4,1.78,51.0
St Pierre Sesame Seed Brioche Burger Buns 4 - 8.8 OZ,Safeway,8.99,249.48,0.03603559,bread-bakery,"Seeds, sesame seeds, whole, dried",75.0,573.0,17.7,40.6,6.96,23.4,11.8,975.0,14.6,468.0,11.0,0.0,0.0,0.0,0.3,0.0
Loves Royal Hearth Sourdough - 24 OZ,Safeway,8.99,680.39,0.01321305,bread-bakery,"Roll, sour dough",80.0,272.0,10.8,1.217,0.529,51.9,2.2,52.0,3.91,117.0,602.0,0.0,0.0,0.0,4.62,0.0
Loves Hot Dog Buns Cluster 8pk - 13.5 OZ,Safeway,7.49,382.72,0.01957053,bread-bakery,"Hot dog, reduced fat",100.0,216.0,13.8,8.269,6.5,5.1,0.0,16.0,1.17,203.0,615.0,0.2,0.0,0.5,0.0,52.0
